Date,Average Daily Temperature Y1,Average Daily Temperature Y2
11/10,62.8,29.1
11/11,59.6,47.6
11/12,58.6,55.3
11/13,56.4,61.7
11/14,55.1,64.4
11/15,54.7,63.7
11/16,53.3,57.7
11/17,62.3,63.7
11/18,61.1,64.3
11/19,59.1,66.5
11/20,48.6,62.4
11/21,46.3,57.5
11/22,45.9,51
11/23,50.6,51.6
11/24,59.3,54.1
11/25,51.9,49.3
11/26,43.5,43.1
11/27,48.4,38.7
11/28,40.9,44.2
11/29,38.8,32.3
11/30,41.7,32.5
12/1,43.7,33.4
12/2,40.8,29.6
12/3,33.6,34.6
12/4,46.1,28.4
12/5,38.3,33.5
12/6,33.1,39.4
12/7,46.4,37.2
12/8,46.4,32.2
12/9,49.5,38.1
12/10,43.7,43.2
12/11,37.4,48.1
12/12,46.1,41.5
12/13,47.2,32.5
12/14,50.0,22.4
12/15,52.2,36
12/16,60.3,47.1
12/17,48.6,51.8
12/18,48.5,40.2
12/19,43.3,41
12/20,37.0,50.3
12/21,34.0,46.6
12/22,38.2,55.5
12/23,46.3,62.3
12/24,47.2,58
12/25,49.6,61.4
12/26,51.8,62
12/27,52.9,66.4
12/28,51.5,28.8
12/29,51.5,26.5
12/30,50.2,35
12/31,49.7,48.7
1/1,40.3,52.9
1/2,40.8,46.9
1/3,44.3,41.2
1/4,38.6,41.9
1/5,34.7,49.7
1/6,24.9,57.5
1/7,22.7,57.6
1/8,25.5,57.9
1/9,25.1,51.8
1/10,29.1,36.8
1/11,29.2,34.6
1/12,37.6,43.5
1/13,34.0,52.8
1/14,38.3,33.7
1/15,38.9,35.4
1/16,44.7,37.3
1/17,45.5,18.4
1/18,37.7,31
1/19,20.9,24.6
1/20,20.0,38.8
1/21,18.1,40.8
1/22,27.7,38.5
1/23,31.5,17.8
1/24,31.6,14.9
1/25,44.9,16.3
1/26,44.1,17.2
1/27,40.5,31.4
1/28,45.1,34.2
1/29,50.8,37
1/30,53.1,18.5
2/1,48.7,19.5
2/2,44.1,31
2/3,55.9,47.3
2/4,64.5,39.4
2/5,55.1,34.3
2/6,49.3,46.1
2/7,59.2,49.7
2/8,46.7,42.2
2/9,52.0,49.6
2/10,39.1,59.5
2/11,36.1,59.3
2/12,37.2,45.5
2/13,35.4,49.2
2/14,29.9,57.6
2/15,34.6,57.7
2/16,43.5,50.3
2/17,29.2,48.8
2/18,31.3,58.3
2/19,27.2,58.7
2/20,14.9,45.2
2/21,16.0,40.5
2/22,25.5,38
2/23,36.3,33.3
2/24,44.7,35.5
2/25,52.6,51.6
2/26,60.6,56
2/27,62.0,55.8
2/28,57.8,61
3/1,59.6,63.9
3/2,55.8,54.1
